barcode;name
2720330000000;AIL
2720360000000;AIL NOIR
2721660000000;AUBERGINE
2720810000000;BETTRAVE ROUGE
2721780000000;BETTES
2721790000000;BETTE COULEUR
2720470000000;BROCCOLI
2720890000000;SALSIFIS
2720190000000;CAROTTE COULEUR 
2720150000000;CAROTTE
2720870000000;CELERI RAVE
2722390000000;CELERI VERT
2722560000000;CHAMPIGNON CHATAIGNE
2722530000000;CHAMPIGNON BLANC
2720380000000;CHOU BLANC
2720450000000;CHOU CHINOIS
2720550000000;CHOU DE BRUXELLES
2720500000000;CHOU FLEUR 
2720420000000;CHOU FRISE
2720440000000;CHOU POINTU
2720540000000;CHOU RAVE
2720530000000;CHOU ROMANESCO
2720390000000;CHOU ROUGE
2721370000000;CONCOMBRE
2722470000000;CORIANDRE BOTTE
2721320000000;COURGETTE
2720740000000;CURCUMA
2720980000000;DAIKON 
2720250000000;ECHALOTTE
2722270000000;EPINARD
2722620000000;ERYNGII
2720760000000;FENOUIL
2720720000000;GINGEMBRE
2721480000000;HARICOT COUPE
2721860000000;LAITUE
2721920000000;LAITUE ICEBERG
2721010000000;NAVETS BLEU
2721020000000;NAVETS JAUNE
2720210000000;OIGNON
2720230000000;OIGNON ROUGE
2720460000000;PAKSOI
2720920000000;PANAIS
2720130000000;PATATE DOUCE
2722330000000;PERSIL FRISE
2721300000000;PIMENT ROUGE
2722590000000;PLEUROTTES
2722180000000;POIREAU
2721330000000;POIVRON RAMIRO
2721240000000;POIVRON ROUGE
2720030000000;POMME DE TERRE
2722640000000;PORTOBELLO
2721590000000;POTIMARRON BUTTERNUT 
2721560000000;POTIMARRON ORANGE 
2721570000000;POTIMARRON VERT
2720960000000;RACINE DE PERSIL
2721950000000;RADICCHIO
2722370000000;RADIS
2720860000000;RADIS NOIRE
2722040000000;RUCOLA EMBALLE
2722610000000;SHIITAKE
2721060000000;TOMATES BRANCHE
2721080000000;TOMATES CHERRY
2721150000000;TOMATE ROMA
2720780000000;TOPINAMBOUR
2726060000000;ALOE VERA
2726090000000;ANANAS
2725910000000;AVOCAT HASS
2726240000000;BANANES 
2725740000000;CITRON 
2725710000000;CLEMENTINES
2750530000000;DATTES MEDJOUL
2726070000000;GRENADE
2726050000000;KAKI
2725860000000;KIWI
2725870000000;KIWI GOLD
2725850000000;KUMQUATS
2725770000000;LIME
2725980000000;MANGUE
2726930000000;MYRTILLES
2726320000000;NOIX
2725650000000;ORANGE
2725660000000;ORANGE A JUS
272580000000;PAMPLEMOUSSE ROSE 
2750540000000;PHYSALIS
2725550000000;POIRE
2725070000000;POMME
2726670000000;RAISIN BLANC SANS PÉPIN 
